OTU	Domain	Phylum	Class	Order	Family	Genus	Species	Abundance
OTU2.49037288222379e+32	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes_hirsuta	790
OTU8.95838424979221e+32	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	Diaporthe_kochmanii	832
OTU1.83426127048101e+31	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiomycetes_ord_Incertae_sedis	Buckleyzymaceae	Buckleyzyma	Buckleyzyma_aurantiaca	1459
OTU4.56989971605168e+32	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_tropicalis	20
OTU8.42851365006982e+32	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophora	Cyphellophora_europaea	136
OTU3.03732608997823e+32	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	unidentified	unidentified	unidentified	160
OTU7.95191739567556e+32	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	Mycosphaerella_tassiana	537
OTU4.73510893780951e+32	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	Apiotrichum_montevideense	30057
OTU4.17402793692872e+32	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia	Periconia_macrospinosa	350
OTU2.32392585080099e+31	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_globosa	237
OTU6.74005948145972e+32	Fungi	Basidiomycota	Agaricomycetes	unidentified	unidentified	unidentified	unidentified	367
OTU1.81490622320023e+32	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Blumeria	unidentified	314
OTU7.27900224551661e+31	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	201
OTU2.72307397129214e+32	Fungi	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	unidentified	9965
OTU8.80188031056129e+32	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Rickenellaceae	Sidera	Sidera_lowei	116
OTU2.17656093565495e+31	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	unidentified	21
OTU2.02406653891469e+32	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_uvarum	350
OTU5.53584803359893e+32	Fungi	Basidiomycota	Agaricomycetes	unidentified	unidentified	unidentified	unidentified	438
OTU9.75234529947819e+32	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified	865
OTU8.70038238697319e+32	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Blumeria	unidentified	287
OTU1.64054274717277e+32	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	unidentified	206
OTU6.48450346407095e+32	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Coniosporium	Coniosporium_apollinis	355
OTU4.04907639798246e+32	Fungi	Ascomycota	Dothideomycetes	Capnodiales	unidentified	unidentified	unidentified	140
OTU9.17958665540507e+32	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_culmorum	2043
OTU6.67791337225783e+32	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	Didymella_musae	7041
OTU4.83171427006376e+32	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula_diobovata	491
OTU3.83599030752467e+32	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	unidentified	10
OTU2.69171878606077e+32	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium_pachypodioides	912
OTU2.04721412087384e+32	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Fuscoporia	unidentified	209
OTU1.27678755608724e+32	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	697
OTU5.14185166118075e+31	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae	Phanerochaete	Phanerochaete_concrescens	450
OTU2.7521408804677e+32	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	Peniophora_albobadia	1578
OTU7.97490406421541e+32	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	760
OTU7.66938576971533e+32	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	unidentified	unidentified	374
OTU4.84249840098531e+32	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta	1711
OTU9.76490245437734e+32	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	Naganishia_albidosimilis	10855
OTU7.73176803652149e+32	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	unidentified	4
OTU3.27580917736128e+32	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Exidiaceae	Heterochaete	Heterochaete_shearii	5928
OTU3.03737276282863e+32	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Dothiora	Dothiora_infuscans	223
OTU8.15304850361066e+32	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_brevicompactum	80
