OTU	Domain	Phylum	Class	Order	Family	Genus	Species	Abundance
OTU8.67846562136293e+32	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Ambiguous_taxa	34
OTU6.03340874095949e+32	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	uncultured	Ambiguous_taxa	33
OTU4.61430700164257e+32	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	Ambiguous_taxa	19
OTU5.46096387967701e+32	Bacteria	Firmicutes	Clostridia	Clostridiales	Family XII	Fusibacter	uncultured bacterium	145
OTU8.09234938960813e+32	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	NA	92
OTU5.13914419552883e+32	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	uncultured bacterium	50
OTU8.11627922810736e+32	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermabacteraceae	Dermabacter	NA	475
OTU4.1367724597243e+32	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	hgcI_clade	uncultured bacterium	4
OTU8.4126424795096e+32	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium	Ambiguous_taxa	4835
OTU5.37866636633453e+32	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium	NA	404
OTU6.71063223210577e+32	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Craurococcus	uncultured bacterium	81
OTU2.57941940938348e+32	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Rhodocyclaceae	Propionivibrio	uncultured bacterium	30
OTU3.68135194530829e+32	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Xenococcaceae	Pleurocapsa_PCC-7319	Ambiguous_taxa	38
OTU4.153887505461e+32	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium	uncultured bacterium	17
OTU6.82722447193331e+32	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Geodermatophilaceae	Geodermatophilus	Ambiguous_taxa	49
OTU6.85841872163365e+32	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	uncultured bacterium	26
OTU9.08914909252566e+32	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Eubacterium]_hallii_group	uncultured bacterium	219
OTU9.08136290973747e+32	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum	267
OTU2.95514325226925e+32	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas	NA	659
OTU2.46486954963782e+32	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Alkanindiges	NA	315
OTU9.90106399247953e+32	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Ambiguous_taxa	1
OTU8.0792333690836e+32	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	uncultured bacterium	81
OTU4.72056150754131e+32	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	NA	NA	48
OTU6.82569073702688e+32	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	uncultured bacterium	9161
OTU9.79920805154212e+32	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Ambiguous_taxa	23
OTU2.81866425445223e+31	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	NA	1876
OTU2.65702844583558e+32	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	NA	NA	67
OTU6.67655278337509e+32	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	uncultured	NA	NA	949
OTU6.17313920446335e+32	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	NA	1977
OTU5.50039061698591e+32	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermatophilaceae	NA	NA	94
OTU5.83952655015604e+32	Bacteria	Firmicutes	Clostridia	Clostridiales	Defluviitaleaceae	Defluviitaleaceae_UCG-011	Ambiguous_taxa	4353
OTU8.54169201819996e+32	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	Fimbriiglobus	uncultured bacterium	134
OTU4.32642381510284e+32	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Chroococcidiopsaceae	uncultured	uncultured bacterium	257
OTU7.54255383200054e+32	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Ambiguous_taxa	43
OTU7.80452769254882e+32	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA	87
OTU6.96455312474559e+32	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Weeksellaceae	Cloacibacterium	uncultured bacterium	50
OTU8.68362847115165e+31	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	uncultured bacterium	1792
OTU6.93917436264563e+32	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium	Ambiguous_taxa	650
OTU4.65022976302123e+31	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermatophilaceae	NA	NA	1765
OTU7.26907021808607e+32	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas	Ambiguous_taxa	8
OTU8.19070711883437e+32	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola	NA	788
OTU3.13498709231794e+32	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	uncultured bacterium	159
OTU3.72998461753212e+32	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	NA	79
OTU1.7231391432345e+32	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Ambiguous_taxa	17
OTU8.50315523018555e+32	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter	Ambiguous_taxa	425
OTU4.18871337698455e+32	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	uncultured bacterium	38
OTU5.53224377136193e+32	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	uncultured bacterium	1
OTU4.15415857417205e+32	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Ambiguous_taxa	113
OTU5.93207311408428e+32	Bacteria	Firmicutes	Clostridia	Clostridiales	Family XI	Anaerococcus	uncultured bacterium	127
OTU7.08237696686236e+32	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	uncultured bacterium	337
OTU3.94650233512017e+32	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Ambiguous_taxa	NA	279
OTU5.53974289763154e+32	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Micropruina	NA	187
OTU2.79760351810545e+32	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	Ambiguous_taxa	10
OTU3.74185111953139e+32	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus	uncultured bacterium	1062
OTU7.56188334260571e+32	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	uncultured bacterium	39
OTU6.37253837931517e+32	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Marinilutecoccus	Ambiguous_taxa	282
OTU1.3466951446382e+32	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	uncultured bacterium	57
OTU2.11042451891856e+31	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Ambiguous_taxa	546
OTU6.68102504648111e+32	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Duganella	Ambiguous_taxa	516
OTU5.60711754892392e+32	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas	NA	209
OTU5.38502352175669e+31	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	NA	1
OTU4.68570556424868e+32	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Ambiguous_taxa	1266
OTU9.97405222906707e+32	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter	Ambiguous_taxa	430
OTU3.86253442864284e+32	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	NA	1898
OTU9.42909466696694e+32	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	uncultured bacterium	91247
OTU5.06089960218638e+32	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Blastocatellales	Blastocatellaceae	uncultured	uncultured bacterium	153
OTU4.36057864002187e+32	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylopilaceae	NA	NA	47
OTU8.90720476956726e+32	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermabacteraceae	Brachybacterium	Ambiguous_taxa	2101
OTU1.58825187159266e+31	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Chroococcidiopsaceae	uncultured	uncultured bacterium	91
OTU2.36448632555337e+31	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatirosa	uncultured bacterium	8
OTU3.22221841193272e+32	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Pseudochrobactrum	Ambiguous_taxa	160
OTU3.69823072364827e+32	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	uncultured bacterium	86
OTU1.36801927184429e+32	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Rhodocyclaceae	Zoogloea	uncultured bacterium	747
OTU1.27342906927847e+32	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	NA	1
OTU6.56903135356956e+32	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Haematobacter	NA	100
OTU5.69145665411849e+32	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Herpetosiphonaceae	Herpetosiphon	Ambiguous_taxa	163
OTU1.58564340378195e+32	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Romboutsia	NA	494
OTU9.56659300859606e+31	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Tabrizicola	uncultured bacterium	2
OTU8.01011294480364e+32	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus_1	uncultured bacterium	1
OTU8.16400847575501e+32	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium_1	uncultured bacterium	2470
OTU1.08285145615127e+32	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavisolibacter	NA	58
OTU9.90155067386563e+32	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA	339
OTU5.23193099051582e+32	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	uncultured bacterium	963
OTU4.96954536051568e+32	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Ralstonia	uncultured bacterium	125
