OTU	Domain	Phylum	Class	Order	Family	Genus	Species	Abundance
OTU4.21353233826323e+32	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_zeylanoides	69
OTU3.36178940058428e+32	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	unidentified	1035
OTU6.96242521884042e+32	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	unidentified	1158
OTU6.67061391178933e+32	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Pseudocercospora	Pseudocercospora_luzardii	640
OTU8.94799998554106e+32	Fungi	Basidiomycota	Agaricomycetes	unidentified	unidentified	unidentified	unidentified	137
OTU9.17457697876078e+32	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_arunalokei	1594
OTU4.00506501535983e+32	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_penicillioides	130
OTU5.16586537799284e+32	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Blumeria	unidentified	5
OTU9.33294824234849e+31	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_ramotenellum	10
OTU2.59398621685101e+31	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_globosa	5
OTU8.23667830159799e+32	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified	284
OTU6.93028055460921e+32	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta	135
OTU6.79103498423107e+32	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified	9
OTU1.34209276348376e+32	Fungi	Basidiomycota	Agaricomycetes	unidentified	unidentified	unidentified	unidentified	17
OTU6.98487107447487e+32	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified	8399
OTU3.17150721826945e+32	Fungi	Ascomycota	Leotiomycetes	Helotiales	unidentified	unidentified	unidentified	576
OTU8.15781184819603e+32	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	unidentified	2036
OTU3.55836741011785e+32	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	unidentified	379
OTU7.60390051248191e+32	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_globosa	95
OTU3.04679294527382e+32	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	unidentified	unidentified	218
OTU1.08953498923974e+31	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_globosa	179
OTU5.76189053397503e+32	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Trichosporon	Trichosporon_asahii	19
OTU4.92160737962102e+32	Fungi	Basidiomycota	Agaricomycetes	unidentified	unidentified	unidentified	unidentified	564
OTU7.22414167878512e+32	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_arunalokei	3366
OTU7.46703525972279e+32	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Cystobasidium	Cystobasidium_minuta	23
OTU2.08125783657273e+32	Fungi	Basidiomycota	Agaricomycetes	unidentified	unidentified	unidentified	unidentified	12
OTU2.76653401629126e+32	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	unidentified	68
OTU5.01504722598625e+32	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_globosa	1327
OTU2.02716788165294e+32	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	7490
OTU1.77085204957841e+32	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	unidentified	unidentified	unidentified	1569
OTU3.66514754652425e+32	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema	Papiliotrema_flavescens	192
OTU9.33984943924422e+31	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Blumeria	unidentified	3
OTU5.51650719807135e+32	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	unidentified	unidentified	unidentified	1584
OTU2.943121177866e+32	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus_longus	47
OTU4.03063924043099e+32	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_hyderabadensis	3952
OTU4.00858952107566e+32	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_arunalokei	1198
OTU1.59029070336548e+32	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified	2
OTU3.26588982157801e+32	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Blumeria	unidentified	57
OTU4.65194797899407e+32	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis	Pyrenochaetopsis_tabarestanensis	53
OTU5.07811898181835e+32	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Stagonosporopsis	Stagonosporopsis_dorenboschii	57
OTU2.46070650013731e+32	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	153
OTU3.65761624739893e+32	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta	81
OTU6.32179253542823e+32	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Blumeria	unidentified	126
OTU6.00215880111676e+32	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium_sp	334
OTU5.80248088159713e+32	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_globosa	2792
OTU4.45213089144389e+32	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Kabatiella	Kabatiella_lini	202
OTU4.57588600052187e+32	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Blumeria	unidentified	145
